"climate_type","scenario","ClimateGroup","thresh_20_med","thresh_25_med","thresh_30_med","thresh_35_med","thresh_40_med","thresh_45_med","thresh_50_med","thresh_55_med","thresh_60_med","thresh_65_med","thresh_70_med","thresh_75_med"
"Cooler Area","historical","Historical",61,68,76,84,93,105,120,131,142,152,160,168
"Cooler Area","rcp45","2040's",67,74,81,89,98,108,119,128,137,146,153,161
"Cooler Area","rcp45","2060's",68,75,83,91,99,109,118,127,136,144,152,159
"Cooler Area","rcp45","2080's",69,76,84,92,100,110,120,128,136,144,152,159
"Cooler Area","rcp85","2040's",68,75,82,90,99,108,119,128,137,145,153,160
"Cooler Area","rcp85","2060's",72,79,86,94,102,111,120,128,137,144,152,159
"Cooler Area","rcp85","2080's",75,82,89,97,105,113,121,128,136,143,150,157
"Warmer Area","historical","Historical",67,74,81,89,97,107,117,126,135,144,152,159
"Warmer Area","rcp45","2040's",72,80,87,95,103,112,120,128,136,144,151,158
"Warmer Area","rcp45","2060's",75,82,89,97,105,113,121,129,137,144,151,158
"Warmer Area","rcp45","2080's",76,83,90,98,106,114,122,130,137,145,152,159
"Warmer Area","rcp85","2040's",74,81,89,96,104,113,121,129,137,144,151,159
"Warmer Area","rcp85","2060's",78,85,93,100,108,116,124,131,139,146,153,160
"Warmer Area","rcp85","2080's",82,89,96,104,111,119,126,133,140,147,154,161
