"lat","long","elevation"
47.78125,-122.34375,122
47.78125,-122.28125,121.938004
47.78125,-122.21875,61.9375992
47.78125,-122.15625,66.3130035
47.78125,-122.09375,122
47.78125,-122.03125,147.25
47.78125,-121.96875,61.3755989
47.78125,-121.90625,265.938995
47.78125,-121.84375,190.125
47.78125,-121.78125,576.247986
47.78125,-121.71875,1151.12
47.78125,-121.65625,669.685974
47.78125,-121.59375,869.616028
47.78125,-121.53125,827.97998
47.78125,-121.46875,740.015991
47.78125,-121.40625,1031.64001
47.78125,-121.34375,1263.25
47.78125,-121.28125,875.434998
47.78125,-121.21875,1287.93994
47.78125,-121.15625,1365
47.78125,-121.09375,1316.57996
47.84375,-122.34375,21.4360008
47.84375,-122.28125,152.375
47.84375,-122.21875,104.875999
47.84375,-122.15625,126.5
47.84375,-122.09375,63.2496986
47.84375,-122.03125,116.75
47.84375,-121.96875,55.9375
47.84375,-121.90625,93.1837006
47.84375,-121.84375,65.4994965
47.84375,-121.78125,112.999001
47.84375,-121.71875,101.624001
47.84375,-121.65625,98.0642014
47.84375,-121.59375,469.820007
47.84375,-121.53125,896.184998
47.84375,-121.46875,1114.62
47.84375,-121.40625,1403.27002
47.84375,-121.34375,1268.06995
47.84375,-121.28125,1195.63
47.84375,-121.21875,1049.38
47.84375,-121.15625,1496.02002
47.84375,-121.09375,1286.56995
47.90625,-122.21875,149.188004
47.90625,-122.15625,43.2496986
47.90625,-122.09375,35.5004005
47.90625,-122.03125,62.8128014
47.90625,-121.96875,157.751007
47.90625,-121.90625,84.1266022
47.90625,-121.84375,197.563995
47.90625,-121.78125,243.938004
47.90625,-121.71875,237.063004
47.90625,-121.65625,1005.95001
47.90625,-121.59375,1213.73999
47.90625,-121.53125,1167.18005
47.90625,-121.46875,616.703979
47.90625,-121.40625,868.062988
47.90625,-121.34375,1417.31006
47.90625,-121.28125,959.255005
47.90625,-121.21875,1388.81995
47.90625,-121.15625,1269.06006
47.96875,-122.21875,62.9996986
47.96875,-122.15625,57.3125992
47.96875,-122.09375,104.561996
47.96875,-122.03125,96.2499008
47.96875,-121.96875,122
47.96875,-121.90625,197.626007
47.96875,-121.84375,266.252014
47.96875,-121.78125,364.373993
47.96875,-121.71875,412.86499
47.96875,-121.65625,444.243011
47.96875,-121.59375,708.052002
47.96875,-121.53125,868.578003
47.96875,-121.46875,1315.76001
47.96875,-121.40625,1250.26001
47.96875,-121.34375,1847.44995
47.96875,-121.28125,1100.75
47.96875,-121.21875,1389.81995
47.96875,-121.15625,1582.12
47.96875,-121.09375,1300.14001
48.03125,-122.15625,6
48.03125,-122.09375,112.75
48.03125,-122.03125,65.9375992
48.03125,-121.96875,231.311005
48.03125,-121.90625,234.313995
48.03125,-121.84375,259.438995
48.03125,-121.78125,532.695007
48.03125,-121.71875,853.687012
48.03125,-121.65625,847.690002
48.03125,-121.59375,1045.06995
48.03125,-121.53125,1057.38
48.03125,-121.46875,954.064026
48.03125,-121.40625,1177.56006
48.03125,-121.34375,1704.88
48.03125,-121.28125,1147.82996
48.03125,-121.21875,1359.35999
48.03125,-121.15625,1654.64001
48.03125,-121.09375,1244.01001
48.09375,-122.21875,86.8743973
48.09375,-122.15625,20.7502995
48.09375,-122.09375,125.25
48.09375,-122.03125,119.813004
48.09375,-121.96875,100.685997
48.09375,-121.90625,320.187012
48.09375,-121.84375,397.562012
48.09375,-121.78125,312.437012
48.09375,-121.71875,591.377991
48.09375,-121.65625,801.06897
48.09375,-121.59375,1245.18994
48.09375,-121.53125,666.632996
48.09375,-121.46875,1439.25
48.09375,-121.40625,581.242981
48.09375,-121.34375,636.491028
48.09375,-121.28125,1191.37
48.09375,-121.21875,1515.76001
48.09375,-121.15625,1575.94995
48.09375,-121.09375,2202.93994
48.09375,-121.03125,1439.43005
48.09375,-120.96875,1961.81995
48.15625,-122.34375,83.6865005
48.15625,-122.28125,126.500999
48.15625,-122.21875,42.9375
48.15625,-122.15625,42.375
48.15625,-122.09375,152.186996
48.15625,-122.03125,113.251999
48.15625,-121.96875,549.564026
48.15625,-121.90625,676.377014
48.15625,-121.84375,763.257019
48.15625,-121.78125,467.946991
48.15625,-121.71875,1110.32996
48.15625,-121.65625,928.442993
48.15625,-121.59375,706.18103
48.15625,-121.53125,977.809021
48.15625,-121.46875,706.294983
48.15625,-121.40625,1089.38
48.15625,-121.34375,960.999023
48.15625,-121.28125,763.814026
48.15625,-121.21875,1170.26001
48.15625,-121.15625,1850.37
48.15625,-121.09375,1513.81006
48.15625,-121.03125,1414.73999
48.15625,-120.96875,1615.93994
48.15625,-120.90625,1969.51001
48.21875,-122.34375,3.0625
48.21875,-122.28125,39.1884003
48.21875,-122.21875,39.1254005
48.21875,-122.15625,49.2503014
48.21875,-122.09375,64.7500992
48.21875,-122.03125,242.384003
48.21875,-121.96875,186.059998
48.21875,-121.90625,880.442017
48.21875,-121.84375,800.310974
48.21875,-121.78125,532.804993
48.21875,-121.71875,1117.01001
48.21875,-121.65625,1066.55005
48.21875,-121.59375,509.737
48.21875,-121.53125,641.322998
48.21875,-121.46875,945.062988
48.21875,-121.40625,1434.62
48.21875,-121.34375,1110.93994
48.21875,-121.28125,846.489014
48.21875,-121.21875,1716.80005
48.21875,-121.15625,714.812988
48.21875,-121.09375,1082.44995
48.21875,-121.03125,1483.87
48.21875,-120.96875,1908.13
48.21875,-120.90625,2179.62988
48.28125,-122.34375,62.25
48.28125,-122.28125,103.875999
48.28125,-122.21875,196.313004
48.28125,-122.15625,188.126999
48.28125,-122.09375,352.131012
48.28125,-122.03125,136.007996
48.28125,-121.96875,129.188995
48.28125,-121.90625,119.252998
48.28125,-121.84375,139.440002
48.28125,-121.78125,164.626999
48.28125,-121.71875,154.25
48.28125,-121.65625,192.442001
48.28125,-121.59375,207.507004
48.28125,-121.53125,173.936996
48.28125,-121.46875,1422.18005
48.28125,-121.40625,260.75
48.28125,-121.34375,927.705994
48.28125,-121.28125,1514.12
48.28125,-121.21875,1009.75
48.28125,-121.15625,1571.75
48.28125,-121.09375,916.013977
48.28125,-121.03125,1416.57996
48.28125,-120.96875,1254.88
48.34375,-122.34375,3
48.34375,-122.28125,211.565002
48.34375,-122.21875,150.938004
48.34375,-122.15625,268.69101
48.34375,-122.09375,276.751007
48.34375,-122.03125,372.502014
48.34375,-121.96875,358.622986
48.34375,-121.90625,851.617004
48.34375,-121.84375,1087.5
48.34375,-121.78125,1103.26001
48.34375,-121.71875,1138.93994
48.34375,-121.65625,712.934998
48.34375,-121.59375,844.179993
48.34375,-121.53125,121.750999
48.34375,-121.46875,399.681
48.34375,-121.40625,801.703003
48.34375,-121.34375,1309.60999
48.34375,-121.28125,872.622009
48.34375,-121.21875,1627.44995
48.34375,-121.15625,1136.43994
48.34375,-121.09375,1169.5
48.34375,-121.03125,1663.75
48.40625,-122.46875,3
48.40625,-122.40625,3
48.40625,-122.34375,3
48.40625,-122.28125,122.875
48.40625,-122.21875,66.8746033
48.40625,-122.15625,588.252014
48.40625,-122.09375,1013.32001
48.40625,-122.03125,962.119995
48.40625,-121.96875,581.442017
48.40625,-121.90625,946.369995
48.40625,-121.84375,943.752014
48.40625,-121.78125,604.809998
48.40625,-121.71875,1242.37
48.40625,-121.65625,787.802002
48.40625,-121.59375,431.625
48.40625,-121.53125,511.938995
48.40625,-121.46875,1341.94995
48.40625,-121.40625,1240.81006
48.40625,-121.34375,995.828979
48.40625,-121.28125,1995.43005
48.40625,-121.21875,1541.93005
48.40625,-121.15625,1496.81995
48.40625,-121.09375,1690.06006
48.40625,-121.03125,2083.75
48.46875,-122.40625,32.7504997
48.46875,-122.34375,6
48.46875,-122.28125,11.0625
48.46875,-122.21875,131.440994
48.46875,-122.15625,346.928009
48.46875,-122.09375,421.056
48.46875,-122.03125,193.182007
48.46875,-121.96875,911.872009
48.46875,-121.90625,1069.38
48.46875,-121.84375,686.312012
48.46875,-121.78125,1146.38
48.46875,-121.71875,713.130005
48.46875,-121.65625,281.869995
48.46875,-121.59375,43.6249008
48.46875,-121.53125,122.742996
48.46875,-121.46875,492.016998
48.46875,-121.40625,1234.18005
48.46875,-121.34375,1333.60999
48.46875,-121.28125,1437.76001
48.46875,-121.21875,428.184998
48.46875,-121.15625,699.143982
48.46875,-121.09375,2019.30005
48.46875,-121.03125,1509.89001
48.46875,-120.96875,2042.27002
48.53125,-122.34375,26.6257
48.53125,-122.28125,60.1279984
48.53125,-122.21875,58.7499008
48.53125,-122.15625,74.0650024
48.53125,-122.09375,70.6271973
48.53125,-122.03125,51.0628014
48.53125,-121.96875,69.6261978
48.53125,-121.90625,74.0643997
48.53125,-121.84375,61
48.53125,-121.78125,66.8118973
48.53125,-121.71875,106.943001
48.53125,-121.65625,702.434021
48.53125,-121.59375,1267.12
48.53125,-121.53125,939.562988
48.53125,-121.46875,413.994995
48.53125,-121.40625,126.314003
48.53125,-121.34375,388.579987
48.53125,-121.28125,374.812012
48.53125,-121.21875,1271.62
48.53125,-121.15625,1511.68994
48.53125,-121.09375,1558.69995
48.53125,-121.03125,1885.30005
48.53125,-120.96875,2048.68994
48.53125,-120.90625,2006.98999
48.53125,-120.84375,1627.81995
48.53125,-120.78125,1668.94995
48.53125,-120.71875,1839.68005
48.59375,-122.34375,69.9996033
48.59375,-122.28125,121.876999
48.59375,-122.21875,139.626007
48.59375,-122.15625,1172.81006
48.59375,-122.09375,354.117004
48.59375,-122.03125,363.613007
48.59375,-121.96875,791.237976
48.59375,-121.90625,668.176025
48.59375,-121.84375,1242.51001
48.59375,-121.78125,418.369995
48.59375,-121.71875,178
48.59375,-121.65625,930.939026
48.59375,-121.59375,1336
48.59375,-121.53125,1190.44995
48.59375,-121.46875,679.224976
48.59375,-121.40625,510.627014
48.59375,-121.34375,832.388977
48.59375,-121.28125,1679.39001
48.59375,-121.21875,785.377014
48.59375,-121.15625,1096.18005
48.59375,-121.09375,1954.98999
48.59375,-121.03125,842.695007
48.59375,-120.96875,1944.62
48.59375,-120.90625,2011.17004
48.59375,-120.84375,1699.43994
48.59375,-120.78125,1727.01001
48.59375,-120.71875,2132.25
48.59375,-120.65625,2008.07996
48.65625,-122.46875,423.996002
48.65625,-122.40625,212.561005
48.65625,-122.34375,388.43399
48.65625,-122.28125,202.434006
48.65625,-122.21875,134.811005
48.65625,-122.15625,474.681
48.65625,-122.09375,407.06601
48.65625,-122.03125,1141.75
48.65625,-121.96875,1202.69995
48.65625,-121.90625,973.309021
48.65625,-121.84375,861.830994
48.65625,-121.78125,1163.62
48.65625,-121.71875,374.183014
48.65625,-121.65625,728.494019
48.65625,-121.59375,1472.56006
48.65625,-121.53125,1547
48.65625,-121.46875,1223.25
48.65625,-121.40625,878.825989
48.65625,-121.34375,1092.75
48.65625,-121.28125,209.436996
48.65625,-121.21875,1038.94995
48.65625,-121.15625,1775.93994
48.65625,-121.09375,1080.32996
48.65625,-121.03125,1177.62
48.65625,-120.96875,1964.41003
48.65625,-120.90625,1547.18994
48.65625,-120.84375,1271.44995
48.65625,-120.78125,2002.18994
48.65625,-120.71875,1629.56995
48.71875,-122.46875,128.626007
48.71875,-122.40625,386.373993
48.71875,-122.34375,162.688004
48.71875,-122.28125,571.627991
48.71875,-122.21875,156.369995
48.71875,-122.15625,196.811996
48.71875,-122.09375,402.742004
48.71875,-122.03125,1010.38
48.71875,-121.96875,1236.30005
48.71875,-121.90625,1046.60999
48.71875,-121.84375,1492.56006
48.71875,-121.78125,1047.12
48.71875,-121.71875,799.304016
48.71875,-121.65625,248.686996
48.71875,-121.59375,441.803009
48.71875,-121.53125,1148.12
48.71875,-121.46875,1599.93994
48.71875,-121.40625,903.692017
48.71875,-121.34375,1054.79004
48.71875,-121.28125,775.83197
48.71875,-121.21875,1240.57996
48.71875,-121.15625,520.877991
48.71875,-121.09375,547.008972
48.71875,-121.03125,1009.60999
48.71875,-120.96875,1076.57996
48.71875,-120.90625,1034.27002
48.71875,-120.84375,1151.13
48.71875,-120.78125,1649.19995
48.71875,-120.71875,1912.81006
48.71875,-120.65625,1917.81995
48.78125,-122.59375,3.5625999
48.78125,-122.53125,36.3754005
48.78125,-122.46875,36.6257019
48.78125,-122.40625,171.625
48.78125,-122.34375,170.875
48.78125,-122.28125,797.247009
48.78125,-122.21875,118.063004
48.78125,-122.15625,607.874023
48.78125,-122.09375,362.821991
48.78125,-122.03125,618.062012
48.78125,-121.96875,1394.31006
48.78125,-121.90625,1582.01001
48.78125,-121.84375,2336.73999
48.78125,-121.78125,1849.43005
48.78125,-121.71875,1264.42004
48.78125,-121.65625,732.395996
48.78125,-121.59375,1274.89001
48.78125,-121.53125,378.385986
48.78125,-121.46875,980.937988
48.78125,-121.40625,1344.02002
48.78125,-121.34375,989.080994
48.78125,-121.28125,1460.59998
48.78125,-121.21875,1573.64001
48.78125,-121.15625,1436.98999
48.78125,-121.09375,988.476013
48.78125,-121.03125,487.375
48.78125,-120.96875,2167.05005
48.78125,-120.90625,1094.31006
48.78125,-120.84375,1976.10999
48.78125,-120.78125,1401.39001
48.78125,-120.71875,1934.62
48.84375,-122.65625,53.3753014
48.84375,-122.59375,10.1252003
48.84375,-122.53125,28.0620003
48.84375,-122.46875,52.1245995
48.84375,-122.40625,62.9369011
48.84375,-122.34375,61.4999008
48.84375,-122.28125,52.5626984
48.84375,-122.21875,441.256989
48.84375,-122.15625,100.875
48.84375,-122.09375,630.810974
48.84375,-122.03125,1183.31006
48.84375,-121.96875,1153.81006
48.84375,-121.90625,652.682007
48.84375,-121.84375,1671.12
48.84375,-121.78125,1090.12
48.84375,-121.71875,1492.62
48.84375,-121.65625,1465.68994
48.84375,-121.59375,1829.84998
48.84375,-121.53125,1782.56006
48.84375,-121.46875,1746.81995
48.84375,-121.40625,1193.07996
48.84375,-121.34375,2026.62
48.84375,-121.28125,1087.72998
48.84375,-121.21875,869.804016
48.84375,-121.15625,2096.62988
48.84375,-121.09375,1540.62
48.84375,-121.03125,504.437012
48.84375,-120.96875,1512.05005
48.84375,-120.90625,1752.88
48.84375,-120.84375,1839.25
48.84375,-120.78125,1711.68994
48.84375,-120.71875,1704.63
48.90625,-122.71875,35.5621986
48.90625,-122.65625,35.9366989
48.90625,-122.59375,24
48.90625,-122.53125,12.4376001
48.90625,-122.46875,17.6249008
48.90625,-122.40625,23.875
48.90625,-122.34375,25.1249008
48.90625,-122.28125,51.3751984
48.90625,-122.21875,879.689026
48.90625,-122.15625,231.25
48.90625,-122.09375,164.876007
48.90625,-122.03125,461.119995
48.90625,-121.96875,536.197021
48.90625,-121.90625,424.696991
48.90625,-121.84375,495.821991
48.90625,-121.78125,671.122009
48.90625,-121.71875,673.258972
48.90625,-121.65625,963.015991
48.90625,-121.59375,1390.72998
48.90625,-121.53125,1333.68994
48.90625,-121.46875,1624
48.90625,-121.40625,1243.56995
48.90625,-121.34375,1624.42004
48.90625,-121.28125,1673.52002
48.90625,-121.21875,782.564026
48.90625,-121.15625,1293.67004
48.90625,-121.09375,874.870972
48.90625,-121.03125,1103.01001
48.90625,-120.96875,958.700012
48.90625,-120.90625,1246.18994
48.90625,-120.84375,1197.51001
48.90625,-120.78125,1765.76001
48.96875,-122.71875,5.4375
48.96875,-122.65625,31.1259003
48.96875,-122.59375,40.4382019
48.96875,-122.53125,44.2504997
48.96875,-122.46875,44.6251984
48.96875,-122.40625,43.0628014
48.96875,-122.34375,26.8125992
48.96875,-122.28125,15
48.96875,-122.21875,142.251007
48.96875,-122.15625,175
48.96875,-122.09375,500.121002
48.96875,-122.03125,1260.31995
48.96875,-121.96875,1295.13
48.96875,-121.90625,1005.32001
48.96875,-121.84375,1085.75
48.96875,-121.78125,1296.43005
48.96875,-121.71875,1295.95996
48.96875,-121.65625,1564.56995
48.96875,-121.59375,1149.68005
48.96875,-121.53125,1505.18994
48.96875,-121.46875,1243.68005
48.96875,-121.40625,1304.93994
48.96875,-121.34375,1742.01001
48.96875,-121.28125,1650.67004
48.96875,-121.21875,1735.97998
48.96875,-121.15625,1125.55005
48.96875,-121.09375,487
48.96875,-121.03125,886.440979
48.96875,-120.96875,1082.31006
48.96875,-120.90625,1539.68994
48.96875,-120.84375,1665.87
48.96875,-120.78125,1693.81006
49.03125,-123.09375,21.6151009
49.03125,-122.78125,73.3123016
49.03125,-122.71875,36.0009995
49.03125,-122.65625,60.5624008
49.03125,-122.59375,91
49.03125,-122.53125,81.3753967
49.03125,-122.46875,91
49.03125,-121.28125,1881.62
49.03125,-121.21875,1460.37
49.03125,-121.15625,1370.56006
49.03125,-121.09375,783.174011
49.03125,-121.03125,906.322021
49.03125,-120.96875,1792.87
49.03125,-120.90625,1404.56995
49.03125,-120.84375,1693.93005
