"fips","state","county","unique_locations"
4009,"AZ","Graham County",2
6029,"CA","Kern County",16
37149,"NC","Polk County",3
37089,"NC","Henderson County",13
37021,"NC","Buncombe County",2
37161,"NC","Rutherford County",1
6079,"CA","San Luis Obispo County",1
6107,"CA","Tulare County",64
37199,"NC","Yancey County",1
37003,"NC","Alexander County",1
37193,"NC","Wilkes County",1
6031,"CA","Kings County",22
6019,"CA","Fresno County",62
6053,"CA","Monterey County",7
51035,"VA","Carroll County",1
6069,"CA","San Benito County",1
6039,"CA","Madera County",26
6085,"CA","Santa Clara County",1
6047,"CA","Merced County",20
6099,"CA","Stanislaus County",54
6077,"CA","San Joaquin County",73
51125,"VA","Nelson County",1
6009,"CA","Calaveras County",1
6067,"CA","Sacramento County",23
6095,"CA","Solano County",11
6005,"CA","Amador County",1
6113,"CA","Yolo County",48
6101,"CA","Sutter County",35
8029,"CO","Delta County",2
6061,"CA","Placer County",4
6011,"CA","Colusa County",37
6115,"CA","Yuba County",15
8077,"CO","Mesa County",1
51069,"VA","Frederick County",9
6007,"CA","Butte County",32
54037,"WV","Jefferson County",1
54003,"WV","Berkeley County",5
6021,"CA","Glenn County",35
54065,"WV","Morgan County",1
24043,"MD","Washington County",2
6103,"CA","Tehama County",22
42001,"PA","Adams County",12
42041,"PA","Cumberland County",3
6089,"CA","Shasta County",1
36103,"NY","Suffolk County",1
17131,"IL","Mercer County",2
17011,"IL","Bureau County",1
17073,"IL","Henry County",3
17161,"IL","Rock Island County",1
9009,"CT","New Haven County",1
36071,"NY","Orange County",3
36027,"NY","Dutchess County",1
36111,"NY","Ulster County",12
9003,"CT","Hartford County",1
26091,"MI","Lenawee County",1
26021,"MI","Berrien County",14
6093,"CA","Siskiyou County",1
26027,"MI","Cass County",4
26159,"MI","Van Buren County",28
36021,"NY","Columbia County",2
25015,"MA","Hampshire County",1
26005,"MI","Allegan County",5
33011,"NH","Hillsborough County",2
36001,"NY","Albany County",1
33015,"NH","Rockingham County",1
36067,"NY","Onondaga County",1
26081,"MI","Kent County",14
50025,"VT","Windham County",1
26139,"MI","Ottawa County",4
26067,"MI","Ionia County",1
36117,"NY","Wayne County",23
26117,"MI","Montcalm County",1
36055,"NY","Monroe County",3
36073,"NY","Orleans County",15
36063,"NY","Niagara County",11
26121,"MI","Muskegon County",3
36000,"NY",,6
26123,"MI","Newaygo County",3
16027,"ID","Canyon County",4
26127,"MI","Oceana County",15
23031,"ME","York County",1
26085,"MI","Lake County",1
26105,"MI","Mason County",6
16075,"ID","Payette County",1
55121,"WI","Trempealeau County",1
23001,"ME","Androscoggin County",1
23011,"ME","Kennebec County",4
26101,"MI","Manistee County",4
26019,"MI","Benzie County",4
50011,"VT","Franklin County",1
36019,"NY","Clinton County",2
26055,"MI","Grand Traverse County",1
26089,"MI","Leelanau County",2
41065,"OR","Wasco County",1
26000,"MI",,1
41027,"OR","Hood River County",9
41021,"OR","Gilliam County",2
53059,"WA","Skamania County",1
53039,"WA","Klickitat County",5
41049,"OR","Morrow County",1
41059,"OR","Umatilla County",4
53005,"WA","Benton County",38
53071,"WA","Walla Walla County",16
53021,"WA","Franklin County",38
53077,"WA","Yakima County",82
53013,"WA","Columbia County",1
53025,"WA","Grant County",86
53001,"WA","Adams County",7
53037,"WA","Kittitas County",10
53007,"WA","Chelan County",30
53017,"WA","Douglas County",17
53061,"WA","Snohomish County",3
53047,"WA","Okanogan County",47
