"shift","45_Larva_Aug_historical","45_Adult_Aug_historical","45_Larva_Nov_historical","45_Adult_Nov_historical"
"0",1.74,2,2.16,2.4
"0.01",1.71,1.99,2.15,2.36
"0.02",1.68,1.98,2.13,2.34
"0.03",1.65,1.96,2.12,2.31
"0.04",1.62,1.95,2.11,2.28
"0.05",1.59,1.94,2.1,2.26
"0.06",1.56,1.92,2.09,2.24
"0.07",1.53,1.9,2.08,2.22
"0.08",1.5,1.88,2.07,2.2
"0.09",1.48,1.86,2.06,2.18
"0.1",1.45,1.84,2.06,2.17
"0.11",1.43,1.82,2.05,2.16
"0.12",1.4,1.8,2.04,2.14
"0.13",1.38,1.78,2.04,2.13
"0.14",1.36,1.75,2.03,2.12
"0.15",1.34,1.73,2.02,2.11
"0.16",1.32,1.7,2.02,2.1
"0.17",1.3,1.68,2.01,2.09
"0.18",1.28,1.66,2,2.08
"0.19",1.26,1.63,1.99,2.08
"0.2",1.25,1.61,1.98,2.07
