"shift","85_Larva_Aug_2040","85_Adult_Aug_2040","85_Larva_Nov_2040","85_Adult_Nov_2040"
"0",2.6,2.91,3.43,3.77
"0.01",2.52,2.84,3.34,3.66
"0.02",2.44,2.77,3.26,3.55
"0.03",2.37,2.7,3.2,3.45
"0.04",2.31,2.62,3.15,3.36
"0.05",2.26,2.55,3.11,3.29
"0.06",2.21,2.48,3.08,3.22
"0.07",2.17,2.41,3.06,3.17
"0.08",2.14,2.36,3.03,3.13
"0.09",2.12,2.3,3,3.1
"0.1",2.1,2.26,2.96,3.08
"0.11",2.08,2.22,2.91,3.05
"0.12",2.06,2.19,2.85,3.03
"0.13",2.05,2.16,2.78,3
"0.14",2.04,2.13,2.7,2.97
"0.15",2.02,2.11,2.63,2.92
"0.16",2.01,2.09,2.55,2.87
"0.17",1.99,2.08,2.48,2.81
"0.18",1.97,2.07,2.42,2.75
"0.19",1.94,2.05,2.36,2.69
"0.2",1.9,2.04,2.31,2.62
