"shift","85_Larva_Aug_historical","85_Adult_Aug_historical","85_Larva_Nov_historical","85_Adult_Nov_historical"
"0",2.09,2.24,2.94,3.07
"0.01",2.08,2.22,2.91,3.06
"0.02",2.07,2.2,2.88,3.04
"0.03",2.06,2.18,2.85,3.03
"0.04",2.06,2.17,2.81,3.01
"0.05",2.05,2.15,2.77,3
"0.06",2.04,2.14,2.73,2.98
"0.07",2.04,2.13,2.69,2.96
"0.08",2.03,2.12,2.65,2.94
"0.09",2.02,2.11,2.61,2.91
"0.1",2.01,2.1,2.57,2.89
"0.11",2,2.09,2.53,2.86
"0.12",1.99,2.08,2.5,2.83
"0.13",1.98,2.07,2.46,2.8
"0.14",1.97,2.07,2.43,2.76
"0.15",1.96,2.06,2.4,2.73
"0.16",1.94,2.06,2.37,2.7
"0.17",1.93,2.05,2.34,2.66
"0.18",1.91,2.04,2.31,2.63
"0.19",1.89,2.04,2.29,2.6
"0.2",1.87,2.03,2.27,2.56
