"Variety","Hc_initial","Hc_min","Hc_max","T_threshold_endo","T_threshold_eco","Ecodormancy_boundary","Acclimation_rate_endo","Acclimation_rate_eco","Deacclimation_rate_endo","Deacclimation_rate_eco","Theta"
"Barbera",-10.1,-1.2,-23.5,15,3,-700,0.06,0.02,0.1,0.08,7
"Cabernet franc",-9.91,-1.2,-25.37,13,4,-500,0.12,0.1,0.04,0.1,7
"Cabernet Sauvignon",-10.27,-1.2,-25.14,13,5,-700,0.12,0.1,0.08,0.1,7
"Chardonnay",-11.81,-1.2,-25.72,14,3,-600,0.1,0.02,0.1,0.08,7
"Chenin blanc",-12.07,-1.2,-24.09,14,4,-700,0.1,0.02,0.04,0.1,7
"Concord",-12.84,-2.5,-29.47,13,3,-600,0.12,0.1,0.02,0.1,3
"Dolcetto",-10.06,-1.2,-23.15,12,4,-600,0.16,0.1,0.1,0.12,3
"Gewürztraminer",-11.59,-1.2,-24.92,13,6,-400,0.12,0.02,0.06,0.18,5
"Grenache",-10,-1.2,-22.69,12,3,-500,0.16,0.1,0.02,0.06,5
"Lemberger",-12.98,-1.2,-25.55,13,5,-800,0.1,0.1,0.02,0.18,7
"Malbec",-11.51,-1.2,-25.09,14,4,-400,0.1,0.08,0.06,0.08,7
"Merlot",-10.31,-1.2,-25,13,5,-500,0.1,0.02,0.04,0.1,7
"Mourvèdre",-9.53,-1.2,-22.08,13,6,-600,0.12,0.06,0.08,0.14,5
"Nebbiolo",-11.11,-1.2,-24.39,11,3,-700,0.16,0.02,0.02,0.1,3
"Pinot gris",-12.04,-1.2,-24.05,13,6,-400,0.12,0.02,0.02,0.2,3
"Riesling",-12.55,-1.2,-26.11,12,5,-700,0.14,0.1,0.02,0.12,7
"Sangiovese",-10.67,-1.2,-21.89,11,3,-700,0.14,0.02,0.02,0.06,7
"Sauvignon blanc",-10.59,-1.2,-24.9,14,5,-300,0.08,0.1,0.06,0.12,7
"Sémillon",-10.43,-1.2,-22.41,13,7,-300,0.1,0.02,0.08,0.2,5
"Sunbelt",-11.79,-2.5,-29.11,14,3,-400,0.1,0.1,0.06,0.12,1.5
"Syrah",-10.27,-1.2,-24.16,14,4,-700,0.08,0.04,0.06,0.08,7
"Viognier",-11.15,-1.2,-24.04,14,5,-300,0.1,0.1,0.08,0.1,7
"Zinfandel",-10.42,-1.2,-24.44,12,3,-500,0.16,0.1,0.02,0.06,7
